,nom_dep,DPTO_CCDGO,ET_NOETNIA_SHAP,EDAD_20-24_SHAP,EST_Viudo_SHAP,ET_Indigena_SHAP,TH_Pareja_mayor_sin_hijos_SHAP,EDAD_55-59_SHAP,ED_Primaria_Completa_SHAP,EDAD_50-54_SHAP,EDAD_25-29_SHAP,EDAD_60_o_mas_SHAP,TH_Etapa_inicial_SHAP,EST_Divorciado_SHAP,EDAD_30-34_SHAP,EST_Union_libre_SHAP,TH_Etapa_de_expansion__SHAP,ALF_SININF_SHAP,TH_Etapa_de_salida__SHAP,EDAD_19_o_menor_SHAP,ED_SININF_SHAP,ET_SININF_SHAP,EDAD_35-39_SHAP,EST_SININF_SHAP,SX_Mujer_SHAP,SX_Hombre_SHAP,TH_Etapa_de_consolidacion__SHAP,ED_Tecnico_SHAP,ED_Media_Incompleta_SHAP,EST_Soltero_SHAP,SER_Internet_Sin_informacion_SHAP,SAN_Inodoro-alcantarillado_SHAP,SER_Alcantarillado_Si_SHAP,ED_Primaria_Incompleta_SHAP,EST_Separado_de_union_libre_SHAP,ED_Tecnologico_SHAP,ALF_Sabe_Leer_SHAP,ED_Postgrado_SHAP,SER_Internet_No_SHAP,ALF_No_Sabe_Leer_SHAP,ED_Media_Completa_SHAP,ET_Raizal_SHAP,ED_Ordinaria_Completa_SHAP,ED_Preescolar_SHAP,ED_Ninguno_SHAP,SAN_Inodoro-pozo_septico_SHAP,ED_Universitario_SHAP
21,NARINO,52,-0.10440888,-0.026632261,-0.003923124,-0.04835238,0.002381736,-0.020051577,0.006136347,-0.00448515,0.005079543,-0.005882841,0.002913534,-0.000567956,-0.01105895,0.004218843,-0.007473123,0.006763357,-0.00331258,-0.015251618,-0.000287104,-0.005308235,-0.055583228,-0.004687755,-0.019852224,-0.012834032,-0.0023181,0.003372314,0.007514177,-0.092841281,0.001223869,0.004820712,0.002689489,0.008644777,0.003507962,0.007184906,0.000474973,0.001029645,-0.002081446,-0.000725928,0.001053111,-0.0000821,0.003183824,-0.006333838,0.009739338,-0.002219239,0.00022637
22,NORTE DE SANTANDER,54,0.198442754,-0.002998077,-0.002100071,0.040884731,0.003082729,-0.01482859,0.039987058,0.000770219,-0.004832696,0.011070738,0.001935283,0.009088315,-0.002698392,0.0000365,-0.006820021,0.00795212,-0.004866834,-0.009434173,0.003914078,0.006613165,-0.009536901,0.007518796,-0.009840802,-0.004514131,-0.000630179,0.014891215,0.005432513,-0.005279071,0.003730013,-0.000381919,-0.00040347,0.004769185,0.003944068,0.003790054,-0.000218133,0.001235106,0.003776459,-0.001628367,0.005073629,0.001188545,0.000528974,-0.001253966,0.005751395,0.001513941,0.000900476
23,PUTUMAYO,86,-0.065983652,-0.052461293,-0.002165705,-0.062246946,0.007497852,-0.015373129,0.021017927,-0.004680135,-0.010569155,-0.006275934,-0.00590757,-0.001219975,-0.013574992,-0.001445811,0.012612293,0.006660898,0.008383038,-0.003339493,0.000913693,-0.011195452,-0.018541295,0.009131584,0.010142671,0.007079827,0.000112588,0.006929602,-0.001861963,0.003110777,0.002610567,0.008456663,-0.001462255,0.008859464,-0.010177467,-0.00331418,0.005884561,0.000712477,0.010534414,0.001974302,0.008943515,0.000352997,0.001207414,-0.013438767,-0.007963839,-0.000345515,0.002769271
24,QUINDIO,63,0.18249854,0.00687997,0.02715251,0.026944019,0.005328722,0.049377122,-0.01925566,0.016978664,-0.001425324,0.015178282,0.008922703,0.022845649,0.0071521,0.003268486,-0.008519652,0.008662887,-0.008695596,0.009829996,-0.001170378,0.004443113,0.00356392,0.006738394,-0.00676183,-0.009974685,-0.002490178,0.001840095,-0.001188063,0.009515075,0.000524461,-0.008604528,0.003990537,-0.001864737,0.005117948,-0.004013176,-0.004565057,0.000923391,0.005898068,0.002027079,-0.00681272,0.001966819,0.000988358,-0.002747014,-0.009434202,0.004599055,-0.001021322
25,RISARALDA,66,-0.006174904,0.009978523,0.031132977,-0.006979967,0.008395273,0.05285763,-0.022510641,0.012220537,0.002551663,0.006257081,0.00427465,0.016263165,0.00240289,-0.001912404,0.000568943,0.004943013,-0.006826915,0.008893333,-0.002691382,0.004281112,-0.003690332,-0.002731498,-0.016527021,-0.017402541,0.000777419,-0.00014918,-0.004679192,0.00647137,0.000238645,-0.009216324,-0.003290777,-0.001509482,0.008810816,-0.000893316,-0.011458589,0.000993522,0.002667871,-0.00057671,-0.022624597,0.000612101,0.001090643,-0.003288983,-0.016794661,0.00214614,-0.002034096
26,SAN ANDRES,88,-0.060143601,0.088499854,-0.010815788,0.030070917,0.009408542,0.037166436,-0.012764918,0.022934946,-0.004432689,-0.004717352,0.004314501,0.013706613,-0.006663912,0.000369764,-0.004505827,0.004850675,-0.006780189,-0.006157595,-0.002893822,0.003988224,-0.001739389,-0.002292675,-0.012515019,-0.0156215,0.000822249,-0.007223781,-0.004319346,0.004596946,-0.002411414,0.001283857,-0.003837632,-0.000835606,0.002498983,-0.003294647,-0.000974706,0.000382114,0.001556967,0.007608485,-0.023229599,-0.005837888,-0.001039519,-0.003119679,-0.00785861,0.000798961,-0.001679487
27,SAN ANDRES,88,-0.099493726,0.056241995,-0.010356705,0.051041732,0.005402528,0.024479677,-0.013921263,0.019567861,-0.00715931,0.001027585,0.003945848,0.017163298,-0.002677335,0.002144484,-0.004863759,0.004755983,-0.005825737,-0.003109853,-0.002504187,0.002824074,-0.011558053,-0.003377785,-0.013933462,-0.022112321,-0.003228582,0.007456197,-0.016038344,0.008185384,-0.001125102,0.001120804,-0.014424259,0.012949095,0.002599809,0.003415339,0.00073883,0.001676354,0.00269105,0.002251167,0.006016854,-0.007611116,-0.001560238,0.010382189,-0.014277534,-0.007767739,-0.000155056
28,SANTANDER,68,0.173750892,0.007758867,0.010682407,0.063491476,0.005014298,-0.015265187,0.039275096,0.00319716,0.002018032,0.001580969,0.000820509,0.009754059,-0.006951814,0.001465487,-0.003840552,0.007355218,-0.005422696,0.000954553,-0.005919036,0.000662775,-0.004851178,0.003614365,-0.014550293,-0.004700884,0.0022465,0.003685925,0.009801883,0.006996477,0.002687645,0.000329379,0.011485361,0.002257667,0.009615171,-0.008748008,-0.002015129,-0.000945288,0.003654329,0.000433648,-0.002116102,0.002400068,0.000153186,-0.000264969,-0.010140895,0.002472646,0.000403034
29,SUCRE,70,-0.048325492,0.01455086,-0.009972679,-0.037781166,0.006737773,-0.018248167,-0.023112067,0.001919586,0.009253814,-0.000267336,-0.0000203,-0.023154699,0.005410475,0.002204908,-0.003482623,0.007627645,-0.005276279,-0.000718716,0.003242289,0.001583568,0.023951712,-0.004376809,0.017906826,0.006607013,0.0090425,0.003937506,-0.00568334,0.000288895,0.002460965,0.006649611,0.007686958,0.00434694,-0.014744033,0.005943582,0.008059205,0.000376459,0.003496797,-0.000201346,0.010278122,-0.000790028,-0.002638568,0.006424516,0.046651126,-0.011909064,-0.000486095
30,TOLIMA,73,0.046680631,0.040242974,0.009593262,-0.004866419,0.011527319,0.027889848,0.027545853,0.002163749,0.0033406,0.009193181,0.005009284,0.009995974,0.016989448,-0.003100239,-0.006775409,0.007904038,0.001009559,-0.003949479,-0.006063499,0.002274402,0.013250633,0.003408913,0.003020208,0.004799504,0.003564628,0.013259133,0.005395824,0.004103336,0.001677847,-0.004458976,0.007600681,-0.005584777,0.00498586,-0.0000793,0.000894528,0.000731793,0.002871153,0.000127899,0.00324774,0.001224309,0.002802238,-0.003181426,0.00146255,0.001912043,-0.000464668
31,VALLE,76,-0.091861555,0.004873855,-0.002300324,0.00303945,-0.001600185,0.047004026,-0.027816002,0.01461812,0.003260527,-0.002408176,0.004527176,0.022468207,0.00055821,-0.007584238,0.001771645,0.003438226,-0.0064708,0.005882636,0.002466407,-0.000879317,-0.012473472,0.000658136,-0.005097629,-0.020143652,-0.005044377,-0.011149801,-0.006939432,0.005566177,-0.002075391,-0.018940132,0.000937034,-0.002802342,0.004506279,-0.008132867,-0.017615025,0.001114613,0.001116169,-0.005414799,-0.021569355,0.000431974,0.000803945,-0.003239775,-0.022541675,-0.001957282,-0.001238453
32,VAUPES,97,-0.074310062,-0.014635972,-0.007804546,-0.023898966,-0.027725906,-0.013250531,-0.009888926,-0.028857812,0.004670677,-0.018657477,-0.007247698,-0.02844605,0.006748109,-0.001735741,0.004041948,-0.037375542,0.006581691,0.001763958,-0.001543948,-0.003259443,0.016173281,-0.009626512,0.026934526,0.003280606,-0.019982772,0.004122071,0.000235548,0.000318127,-0.007070678,0.001702204,-0.018247759,-0.021796961,0.001669903,0.002360414,-0.006643249,0.002640144,-0.032349931,-0.003445269,0.003040742,0.00045522,-0.015417832,0.00352619,0.008111311,-0.000485261,-0.003027133
33,VICHADA,99,-0.09229155,-0.023555601,-0.003739643,-0.032132373,-0.027417107,-0.017520779,-0.005977341,-0.028776708,0.002683813,-0.033442997,-0.009475848,-0.007023204,0.006751877,0.000417146,-0.009971487,-0.030956483,-0.087005281,-0.011381734,-0.003842475,-0.00819642,0.011709609,0.002728299,0.021587316,0.013012032,-0.003535279,0.006247051,0.003108235,0.001924126,-0.003061807,-0.005093689,-0.022177139,-0.020592104,-0.002704392,-0.003369611,-0.002110781,-0.000177247,-0.029402165,-0.002240527,-0.004108268,-0.0000323,-0.004680016,0.005796916,0.011718816,-0.00205798,-0.004681114
